#,Org.,Eco.,Descripció,Previsions inicials,Previsions totals
,5411,46107,Diputació BCN. Festivals artístics i programació cultural,23500.0,23500.0
,5411,46186,"Diputació de Barcelona. Teatre, música i dansa",0.0,0.0
,5412,34401,Utilització auditori Can Roig i Torres,5359.1,5359.1
,5414,34414,Ingressos museu Torre Balldovina,100.0,100.0
,5414,45032,Generalitat de Catalunya. Memòria històrica,0.0,0.0
,5414,45080,"Generalitat.Aportació despese s""""El Puig Castellar""""",0.0,0.0
,5414,45081,Generalitat. Aportació despeses Museus,0.0,0.0
,5414,46144,Diputació BCN. Difusió Patrimoni. Museu,5500.0,5500.0
,5414,46199,Diputació Barcelona. Subvencions,0.0,0.0
,5415,45049,Generalitat de Catalunya. Llibres biblioteques,0.0,0.0
,5415,45080,Generalitat. Adquisició llibres i diaris per Biblioteques,0.0,0.0
,5417,45060,Generalitat Fitxa 34 Activitats i projectes adreçats a joves,14100.0,14100.0
,5417,46111,Diputació BCN. Punts informació juvenil,3500.0,3500.0
,5417,46112,Diputació BCN.Àrea cultura.Conveni juventut,12000.0,12000.0
,5418,46500,Consell comarcal del Barcelonès,0.0,0.0
,5500,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0.0,0.0
,5500,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0.0,0.0
,5500,46100,Subvencions Diputació de Barcelona,0.0,0.0
,5500,46146,Diputació BCN. Fianançament de l'àmbit de benestar social,122000.0,122000.0
,5500,46147,Diputació BCN.Àrea Benestar Social.Conveni atenció primària,0.0,0.0
,5500,46199,Diputació Barcelona. Subvencions,0.0,0.0
,5500,46400,Subvencions Àrea Metropolitana de Barcelona,0.0,0.0
,5501,45002,Generalitat. Fitxa 1. Equips bàsics,1176048.9,1176048.9
,5502,45002,Generalitat.Fitxa 2. Intervenció Socioeducativa,363117.32,363117.32
,5503,45002,Generalitat.Fitxa 1. Ajuts socials+pobresa energètica,120211.5,120211.5
,5504,45002,Generlitat.Fitxa 19.2 SIFE,78674.0,78674.0
,5506,45002,Generalitat.Fitxa 6. Sistemes de resposta violència gènere,9600.0,9600.0
,5509,45002,Generalitat. Fitxa 19. EAIA,435679.0,435679.0
,5514,45002,Generalitat Fitxa 36.2 Promoció associacionisme i voluntaria,4200.0,4200.0
,5514,45050,Generalitat. Fitxa 8. Plans d'inclusió social,80697.52,80697.52
,5600,45002,Generalitat-Fitxa 7 Acollida i integració,100735.0,100735.0
,5600,46139,Diputació BCN.Polítiques d'igualtat i ciutadania,18000.0,18000.0
,5600,46180,Diputació BCN.Polítiques de migració i ciutadania,71250.0,71250.0
,5601,45002,Generalitat.Fitxa 30.2 Atenció al poble gitano,600.0,600.0
,5700,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0.0,0.0
,5800,55002,Concessions adminitratives,0.0,0.0
,5900,91303,Préstec inversions Esports,6000.0,6000.0
,5900,34301,Serveis esportius,248000.0,248000.0
,5900,34303,Preus públics gimnàstica gent gran,11698.44,11698.44
,5900,46100,Subvencions Diputació de Barcelona Esports,12300.0,12300.0
,5900,55001,Cànon complexos esportius,140000.0,140000.0
,6120,45043,Generalitat. Pla Educatiu d'Entorn 2018 (PROEDUCAR),0.0,0.0
,6120,45080,Generalitat. Pla educatiu entorn,18000.0,18000.0
,6120,46100,Subvencions Diputació de Barcelona,0.0,0.0
,6120,46114,Diputació de Barcelona Activitats educatives complementàries,40000.0,40000.0
,6120,46135,Diputació de Barcelona. Serveis Complementaris d'Educació,0.0,0.0
,6120,46155,DIBA. Coneguem els nostres parcs,0.0,0.0
,6130,34100,Preus públics Escola Bressol,140000.0,140000.0
,6130,34201,Serveis educatius. Escoles bressol,0.0,0.0
,6130,45030,Trans ctes cumpl conv els seus amb C.A en mat d'edució,0.0,0.0
,6130,46115,Diputació BCN: Finançament de Llars d'Infants,350000.0,350000.0
,6130,46133,Diputació de Barcelona. Suport finançament escoles bressol,0.0,0.0
,7000,39901,Despeses de publicitat: Anuncis licitacions,0.0,0.0
,7000,45080,Generalitat. Foment de la prestació supramunicipal de servei,25000.0,25000.0
,7000,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0.0,0.0
,7110,46108,Subvencions Diputació de Barcelona. Conveni Salut Pública,0.0,0.0
,7120,39190,Altres multes i sancions-medi ambient i higiene,70000.0,70000.0
,7120,46108,Diputació BCN. Conveni Salut Pública,0.0,0.0
,7130,46199,Diputació Barcelona. Subvencions,0.0,0.0
,7150,46108,Subvencions Diputació de Barcelona. Conveni Salut Pública,14000.0,14000.0
,7150,39905,Energia fotovoltaica - plantes fotovoltàiques,45000.0,45000.0
,7150,46400,Subvencions Àrea Metropolitana de Barcelona,0.0,0.0
,7200,46100,Subvencions Diputació de Barcelona,0.0,0.0
,7300,39190,Altres multes i sancions,0.0,0.0
,7300,39610,Quotes d'urbanització,0.0,0.0
,7300,39701,Aprofitament urbanístic,0.0,0.0
,7300,45102,Agència de l'habitatge de Catalunya,0.0,0.0
,7300,46128,Diputació de Barcelona. Habitatge,0.0,0.0
,7300,46199,Diputació Barcelona. Subvencions,0.0,0.0
,7300,76400,Subvencions AMB - Programa PAMMU,1329116.32,1329116.32
,7300,91303,Préstecs entitat financera  programa de Crèdit Local,0.0,0.0
,7400,39610,Quotes urbanització,0.0,0.0
,7400,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,769783.0,769783.0
,7400,46400,Subvencions Àrea Metropolitana de Barcelona,0.0,0.0
,7400,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0.0,0.0
,7400,76400,AMB- Senyalització per a la mobilitat sostenible,15000.0,15000.0
,7400,91301,Préstecs rebuts mig i llarg termini fora sector públic,0.0,0.0
,7400,91303,Préstecs entitat financera  programa de Crèdit Local,0.0,0.0
,7500,55004,Concessions administratives,0.0,0.0
,7500,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0.0,0.0
,7500,76100,Diputació de Barcelona. Subvencions de capital,0.0,0.0
,7500,76121,DIBA. Tancament Molí d'En Ribé,0.0,0.0
,7500,76400,Subvencions Àrea Metropolitana de Barcelona.,0.0,0.0
,7500,79100,Transf.de l'Exterior. Fons Feder,0.0,0.0
,7500,91301,Préstecs rebuts mig i llarg termini fora sector públic,0.0,0.0
,7500,91303,Préstecs entitat financera,2007206.68,2007206.68
,7600,55002,Concessions administratives,0.0,0.0
,7610,34901,Escombraries industrials,1224000.0,1224000.0
,7610,36001,"Venda de paper i cartró, envasos i vidre",350000.0,350000.0
,7610,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0.0,0.0
,7610,47010,Conveni col·laboració Funerària Santa Coloma SA,20000.0,20000.0
,7660,91303,Préstec inversions mercats municipals,94450.65,94450.65
,7660,32902,Mercats,525300.0,525300.0
,7660,46199,Diputació Barcelona. Subvencions,0.0,0.0
,7660,55002,Concessions administratives- mercats municipals,8000.0,8000.0
,7660,55006,Lloguers parades mercats,5000.0,5000.0
,7660,76100,Diputació de Barcelona. Subvencions de capital,0.0,0.0
,7670,55001,Concessió administrativa cementiri municipal,17000.0,17000.0
,7700,32502,Llicències d'obertura,127400.0,127400.0
,7700,32503,Llicències d'obres,110000.0,110000.0
,7700,33103,Plaques de guals,0.0,0.0
,7700,39190,Altres multes i sancions-disciplina urbanística,150000.0,150000.0
,7700,39904,Desperfectes i obres exec.subs.-disciplina urbanística,39200.0,39200.0
,7700,39907,Instal·lacions de radiocomunicació,50000.0,50000.0
,7810,76100,Diputació BCN. Programa complementari desenv.loca (via púb),200000.0,200000.0
,7810,39904,Desperfectes i obres exec. subs-guals,12000.0,12000.0
,7810,46125,Diputació BCN. Meses concertació 16-19 Manteniment via públi,469783.0,469783.0
,7810,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0.0,0.0
,7830,76149,Diputació de Barcelona Pla Xarxa de Governs Locals,0.0,0.0
,7850,76100,Diputació BCN.Programa complementari desenv.local (jocs inf),460188.75,460188.75
,7850,46125,Diputació BCN. Meses concertació 16-19 Manteniment parcs,150000.0,150000.0
,7850,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0.0,0.0
,7850,76125,Diputació BCN Meses concertació 16-19 Jocs infantils,0.0,0.0
,7851,39906,Conexió clavegueram,0.0,0.0
,7900,91303,Préstec inversions manteniment edificis,50000.0,50000.0
,7900,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0.0,0.0
,7900,46125,Diputació BCN. Meses concertació 16-19 Mant. edificis,150000.0,150000.0
,7900,76100,Diputació de Barcelona. Subvencions de capital,0.0,0.0
,7900,76125,Diputació BCN Meses concertació 16-19 Molí Ribé Poblat Ibèri,0.0,0.0
,7900,91301,Préstecs rebuts mig i llarg termini fora sector públic,0.0,0.0
,7910,39908,Altres ingressos,0.0,0.0
,8110,39904,Desperfectes i obres exec. subs-serveis jurídics,18000.0,18000.0
,8110,39912,Costos processals,0.0,0.0
,8110,39924,Indemnitzacions patrimonials-serveis jurídics,10000.0,10000.0
,8400,39910,Gestió tribut de la mobilitat,85000.0,85000.0
,8400,46140,Diputació de Barcelona. PROGRAMA DE CREDIT LOCAL,0.0,0.0
,8400,51401,Interessos d'operacions financeres amb Gramepark SA,100000.0,100000.0
,8400,51402,Interessos d'operacions financeres amb Grameimpuls SA,100000.0,100000.0
,8400,52000,Rendiments bancaris,10000.0,10000.0
,8400,52001,Rendiments bancaris moneda local,0.0,0.0
,8410,39200,Recàrrec per declaració extemporànea sense requerimi.previ,35000.0,35000.0
,8410,39211,Recàrrec de constrenyiment,700000.0,700000.0
,8410,39300,Interessos de demora,250000.0,250000.0
,8410,39900,Costes del servei de recaptació,0.0,0.0
,8410,39917,Interessos recàrrec extemporani,5000.0,5000.0
#TOT.,,,,114670325.55,114670325.55
